0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.001
9,0.001
10,0.002
11,0.003
12,0.004
13,0.005
14,0.009
15,0.014
16,0.022
17,0.035
18,0.056
19,0.088
20,0.135
21,0.189
22,0.254
23,0.324
24,0.397
25,0.471
26,0.546
27,0.613
28,0.675
29,0.728
30,0.772
31,0.808
32,0.842
33,0.871
34,0.898
35,0.919
36,0.935
37,0.948
38,0.958
39,0.967
40,0.972
41,0.978
42,0.981
43,0.984
44,0.987
45,0.988
46,0.989
47,0.990
48,0.991
49,0.991
50,0.992
51,0.993
52,0.995
53,0.996
54,0.998
55,0.999
56,0.999
57,1.000
58,1.000
59,1.000
60,1.000
61,1.000
62,1.000
63,1.000
