0,0.076
1,0.203
2,0.320
3,0.405
4,0.481
5,0.539
6,0.583
7,0.627
8,0.671
9,0.711
10,0.744
11,0.769
12,0.782
13,0.793
14,0.804
15,0.817
16,0.828
17,0.839
18,0.849
19,0.860
20,0.871
21,0.883
22,0.894
23,0.906
24,0.919
25,0.933
26,0.949
27,0.957
28,0.965
29,0.972
30,0.976
31,0.980
32,0.984
33,0.986
34,0.989
35,0.991
36,0.993
37,0.994
38,0.995
39,0.996
40,0.997
41,0.997
42,0.998
43,0.998
44,0.998
45,0.999
46,0.999
47,0.999
48,0.999
49,0.999
50,1.000
51,1.000
52,1.000
53,1.000
54,1.000
55,1.000
56,1.000
57,1.000
58,1.000
59,1.000
60,1.000
61,1.000
62,1.000
63,1.000
64,1.000
65,1.000
66,1.000
67,1.000
